func_name,index,clusters,filename
ailon,0,"[set([1]), set([2]), set([0])]",3-complete-2.csv
bansal_algorithm_cautious,1,"[set([0, 1, 2])]",3-complete-2.csv
bansal_naive,0,"[set([0]), set([1]), set([2])]",3-complete-2.csv
ailon,0,"[set([0, 1, 3]), set([2])]",4-complete-1.csv
bansal_algorithm_cautious,0,"[set([0, 1, 2, 3])]",4-complete-1.csv
bansal_naive,0,"[set([0, 1, 2, 3])]",4-complete-1.csv
ailon,0,"[set([0, 1]), set([2, 3])]",4-complete-0.csv
bansal_algorithm_cautious,0,"[set([0, 1, 2, 3])]",4-complete-0.csv
bansal_naive,0,"[set([0, 1, 2, 3])]",4-complete-0.csv
ailon,0,"[set([1]), set([0, 2])]",3-complete-1.csv
bansal_algorithm_cautious,0,"[set([0, 1, 2])]",3-complete-1.csv
bansal_naive,0,"[set([0]), set([1]), set([2])]",3-complete-1.csv
ailon,0,"[set([0, 1, 2, 3])]",4-complete-2.csv
bansal_algorithm_cautious,0,"[set([0, 1, 2, 3])]",4-complete-2.csv
bansal_naive,0,"[set([0, 1, 2, 3])]",4-complete-2.csv
ailon,0,"[set([0, 1]), set([2])]",3-complete-0.csv
bansal_algorithm_cautious,0,"[set([0, 1, 2])]",3-complete-0.csv
bansal_naive,0,"[set([0, 1, 2])]",3-complete-0.csv
ailon,0,"[set([0, 1, 4]), set([2, 3])]",5-complete-2.csv
bansal_algorithm_cautious,0,"[set([0, 1, 2, 3, 4])]",5-complete-2.csv
bansal_naive,0,"[set([0]), set([1]), set([2]), set([3]), set([4])]",5-complete-2.csv
ailon,0,"[set([2, 4]), set([0, 1, 3])]",5-complete-0.csv
bansal_algorithm_cautious,0,"[set([0, 1, 2, 3, 4])]",5-complete-0.csv
bansal_naive,0,"[set([0, 1, 2, 3, 4])]",5-complete-0.csv
ailon,0,"[set([3, 4]), set([0, 2]), set([1])]",5-complete-1.csv
bansal_algorithm_cautious,0,"[set([0, 1, 2, 3, 4])]",5-complete-1.csv
bansal_naive,0,"[set([0]), set([1]), set([2]), set([3]), set([4])]",5-complete-1.csv
ailon,0,"[set([0, 1, 3, 4, 5, 6]), set([2])]",7-complete-0.csv
bansal_algorithm_cautious,0,"[set([0, 1, 2, 3, 4, 5, 6])]",7-complete-0.csv
bansal_naive,0,"[set([0, 1, 2, 3, 4, 5, 6])]",7-complete-0.csv
ailon,0,"[set([1, 2, 4, 6, 7]), set([0, 3, 5])]",8-complete-2.csv
bansal_algorithm_cautious,0,"[set([0, 1, 2, 3, 4, 5, 6, 7])]",8-complete-2.csv
bansal_naive,0,"[set([0, 1, 2, 3, 4, 5, 6, 7])]",8-complete-2.csv
ailon,0,"[set([5]), set([1, 2, 3, 4, 6]), set([0])]",7-complete-1.csv
bansal_algorithm_cautious,0,"[set([0, 1, 2, 3, 4, 5, 6])]",7-complete-1.csv
bansal_naive,0,"[set([0]), set([1]), set([2]), set([3]), set([4]), set([5]), set([6])]",7-complete-1.csv
ailon,0,"[set([0, 1, 2, 5, 6, 7]), set([3, 4])]",8-complete-1.csv
bansal_algorithm_cautious,0,"[set([0, 1, 2, 3, 4, 5, 6, 7])]",8-complete-1.csv
bansal_naive,0,"[set([0, 1, 2, 3, 4, 5, 6, 7])]",8-complete-1.csv
ailon,0,"[set([2, 3, 4, 5, 7]), set([0, 1]), set([6])]",8-complete-0.csv
bansal_algorithm_cautious,0,"[set([0, 1, 2, 3, 4, 5, 6, 7])]",8-complete-0.csv
bansal_naive,0,"[set([0, 1, 2, 3, 4, 5, 6, 7])]",8-complete-0.csv
ailon,0,"[set([0, 6]), set([3, 4]), set([2, 5]), set([1])]",7-complete-2.csv
bansal_algorithm_cautious,0,"[set([0, 1, 2, 3, 4, 5, 6])]",7-complete-2.csv
bansal_naive,0,"[set([0]), set([1]), set([2]), set([3]), set([4]), set([5]), set([6])]",7-complete-2.csv
ailon,0,"[set([0, 1, 3, 5]), set([2]), set([4])]",6-complete-2.csv
bansal_algorithm_cautious,0,"[set([0, 1, 2, 3, 4, 5])]",6-complete-2.csv
bansal_naive,0,"[set([0, 1, 2, 3, 4, 5])]",6-complete-2.csv
ailon,0,"[set([0, 1, 3, 4]), set([5, 6, 7]), set([8, 2])]",9-complete-0.csv
bansal_algorithm_cautious,0,"[set([0, 1, 2, 3, 4, 5, 6, 7, 8])]",9-complete-0.csv
bansal_naive,0,"[set([0]), set([1]), set([2]), set([3]), set([4]), set([5]), set([6]), set([7]), set([8])]",9-complete-0.csv
ailon,0,"[set([8, 2, 3, 6, 7]), set([1, 4]), set([0, 5])]",9-complete-1.csv
bansal_algorithm_cautious,0,"[set([0, 1, 2, 3, 4, 5, 6, 7, 8])]",9-complete-1.csv
bansal_naive,0,"[set([0]), set([1]), set([2]), set([3]), set([4]), set([5]), set([6]), set([7]), set([8])]",9-complete-1.csv
ailon,0,"[set([1, 2, 4, 5]), set([0, 3])]",6-complete-1.csv
bansal_algorithm_cautious,0,"[set([0, 1, 2, 3, 4, 5])]",6-complete-1.csv
bansal_naive,0,"[set([0, 1, 2, 3, 4, 5])]",6-complete-1.csv
ailon,0,"[set([8, 2, 3, 4]), set([0, 1, 5, 6, 7])]",9-complete-2.csv
bansal_algorithm_cautious,0,"[set([0, 1, 2, 3, 4, 5, 6, 7, 8])]",9-complete-2.csv
bansal_naive,0,"[set([0]), set([1]), set([2]), set([3]), set([4]), set([5]), set([6]), set([7]), set([8])]",9-complete-2.csv
ailon,0,"[set([1, 3, 5]), set([2]), set([0, 4])]",6-complete-0.csv
bansal_algorithm_cautious,0,"[set([0, 1, 2, 3, 4, 5])]",6-complete-0.csv
bansal_naive,0,"[set([0]), set([1]), set([2]), set([3]), set([4]), set([5])]",6-complete-0.csv
ailon,0,"[set([9, 2, 6, 1]), set([0, 3, 4, 7]), set([5]), set([8])]",10-complete-2.csv
bansal_algorithm_cautious,0,"[set([0, 1, 2, 3, 4, 5, 6, 7, 8, 9])]",10-complete-2.csv
bansal_naive,0,"[set([0]), set([1]), set([2]), set([3]), set([4]), set([5]), set([6]), set([7]), set([8]), set([9])]",10-complete-2.csv
ailon,0,"[set([8, 0, 2, 4, 6]), set([1, 5]), set([9, 3]), set([7])]",10-complete-1.csv
bansal_algorithm_cautious,0,"[set([0, 1, 2, 3, 4, 5, 6, 7, 8, 9])]",10-complete-1.csv
bansal_naive,0,"[set([0]), set([1]), set([2]), set([3]), set([4]), set([5]), set([6]), set([7]), set([8]), set([9])]",10-complete-1.csv
ailon,0,"[set([2, 3, 4, 7]), set([0, 1, 5, 6, 8, 9])]",10-complete-0.csv
bansal_algorithm_cautious,0,"[set([0, 1, 2, 3, 4, 5, 6, 7, 8, 9])]",10-complete-0.csv
bansal_naive,0,"[set([0]), set([1]), set([2]), set([3]), set([4]), set([5]), set([6]), set([7]), set([8]), set([9])]",10-complete-0.csv
